url,path,formFactor,httpStatus,performanceScore,lcpMs,tbtMs,inpMs,cls,fcpMs,speedIndexMs,totalByteWeight,jsBytes,cssBytes,imageBytes,fontBytes,requestCount,renderBlockingCount,severity,mainIssues,proposedFix,dataKind
https://sebavia.com/,/,mobile,200,0.68,3337.743,1149.0000000000002,,0,1387.743,2515.209364886835,711975,337627,36072,180562,73130,37,0,avertissement,"TBT élevé (1149 ms)","Réduire JS client, imports dynamiques, composants serveur par défaut.",laboratory_lighthouse
https://sebavia.com/fonctionnalites,/fonctionnalites,mobile,200,0.72,4041.9015,427.5,,0,2018.9015,4357.548964005386,688660,337636,36063,172409,73139,38,1,avertissement,"LCP élevé (4042 ms)","Optimiser l’élément LCP (image/police/SSR) et réduire le JS bloquant.",laboratory_lighthouse
https://sebavia.com/pricing,/pricing,mobile,200,0.72,3104.983,972,,0,1229.983,2213.0535504071922,661673,342020,36054,136288,73130,37,0,avertissement,"TBT élevé (972 ms)","Réduire JS client, imports dynamiques, composants serveur par défaut.",laboratory_lighthouse
https://sebavia.com/assistant-voyage-ia,/assistant-voyage-ia,mobile,200,0.7,4049.75,485.5,,0,2075.75,4416.481249122857,688932,337627,36072,170695,73139,39,1,avertissement,"LCP élevé (4050 ms)","Optimiser l’élément LCP (image/police/SSR) et réduire le JS bloquant.",laboratory_lighthouse
https://sebavia.com/planificateur-road-trip-quebec,/planificateur-road-trip-quebec,mobile,200,0.74,4082.684,377,,0,2014.684,4404.11616985277,704920,337663,36063,172408,73139,41,1,avertissement,"LCP élevé (4083 ms)","Optimiser l’élément LCP (image/police/SSR) et réduire le JS bloquant.",laboratory_lighthouse
https://sebavia.com/guides,/guides,mobile,200,0.87,3178.4265,296.5,,0,1078.4265,1078.4265,697466,335468,36063,172408,73139,38,2,ok,"Aucun problème majeur détecté","Conserver le niveau actuel ; surveiller les régressions.",laboratory_lighthouse
https://sebavia.com/guides/road-trip-nature-quebec,/guides/road-trip-nature-quebec,mobile,200,0.7,4098.1605,576,,0,1374.1605,3850.560387252865,701589,335441,36063,166873,73130,38,1,avertissement,"LCP élevé (4098 ms)","Optimiser l’élément LCP (image/police/SSR) et réduire le JS bloquant.",laboratory_lighthouse
https://sebavia.com/guides/road-trip-gastronomique-quebec,/guides/road-trip-gastronomique-quebec,mobile,200,0.75,4061.1895000000004,358.5,,0,2003.1895,4344.526982622765,702162,335468,36063,166882,73139,38,1,avertissement,"LCP élevé (4061 ms)","Optimiser l’élément LCP (image/police/SSR) et réduire le JS bloquant.",laboratory_lighthouse
https://sebavia.com/register,/register,mobile,200,0.73,4229.04,395.5,,0,1598.04,4505.53514940798,845011,326140,36063,364487,73139,31,1,avertissement,"LCP élevé (4229 ms)","Optimiser l’élément LCP (image/police/SSR) et réduire le JS bloquant.",laboratory_lighthouse
https://sebavia.com/,/,desktop,200,0.36,4123.793,2373.9999999999995,,0,1423.7930000000001,3445.9880794876917,843760,337636,36054,290873,73139,58,0,avertissement,"LCP élevé (4124 ms); TBT élevé (2374 ms)","Optimiser l’élément LCP (image/police/SSR) et réduire le JS bloquant.",laboratory_lighthouse
https://sebavia.com/fonctionnalites,/fonctionnalites,desktop,200,0.54,3699.3765,556.5,,0,1224.3764999999999,1231.4027419784743,697488,337627,36063,171390,73139,46,1,ok,"Aucun problème majeur détecté","Conserver le niveau actuel ; surveiller les régressions.",laboratory_lighthouse
https://sebavia.com/pricing,/pricing,desktop,200,0.43,4010.2664999999997,901.5,,0,1224.2665,2559.64412758843,699875,341975,36063,151262,73139,50,0,avertissement,"LCP élevé (4010 ms); TBT élevé (902 ms)","Optimiser l’élément LCP (image/police/SSR) et réduire le JS bloquant.",laboratory_lighthouse
https://sebavia.com/assistant-voyage-ia,/assistant-voyage-ia,desktop,200,0.54,3614.998,554.5,,0,1214.998,1452.1941388503537,698913,337645,36063,168535,73139,47,1,ok,"Aucun problème majeur détecté","Conserver le niveau actuel ; surveiller les régressions.",laboratory_lighthouse
https://sebavia.com/planificateur-road-trip-quebec,/planificateur-road-trip-quebec,desktop,200,0.53,3807.6075,581.5,,0,1216.6075,1321.5909749824934,735558,337636,36063,190965,73139,52,1,ok,"Aucun problème majeur détecté","Conserver le niveau actuel ; surveiller les régressions.",laboratory_lighthouse
https://sebavia.com/guides,/guides,desktop,200,0.58,3013.885,560,,0,1063.885,1065.3197237261313,741635,337654,36063,175221,73139,63,2,ok,"Aucun problème majeur détecté","Conserver le niveau actuel ; surveiller les régressions.",laboratory_lighthouse
https://sebavia.com/guides/road-trip-nature-quebec,/guides/road-trip-nature-quebec,desktop,200,0.5,3773.5805,687,,0,1223.5805,1601.921926556622,729223,337636,36063,166882,73139,58,1,avertissement,"TBT élevé (687 ms)","Réduire JS client, imports dynamiques, composants serveur par défaut.",laboratory_lighthouse
https://sebavia.com/guides/road-trip-gastronomique-quebec,/guides/road-trip-gastronomique-quebec,desktop,200,0.56,3621.0315,476,,0,1221.0315,1327.66284845276,732581,337627,36063,166882,73139,58,1,ok,"Aucun problème majeur détecté","Conserver le niveau actuel ; surveiller les régressions.",laboratory_lighthouse
https://sebavia.com/register,/register,desktop,200,0.68,3315.322,289.5,,0,1070.8220000000001,1141.0991923749411,844866,326140,36063,364487,73139,31,1,ok,"Aucun problème majeur détecté","Conserver le niveau actuel ; surveiller les régressions.",laboratory_lighthouse
